證券代碼,股票簡稱,上市板,所屬行業,最近收盤股價,流通股份,市值(百萬),Q4sales,Q3sales,Q4NI,Q3NI,corr,corr1,predict112Sales,predict112NI,predict112EPS,Div,EPS,corr,predict112Div,預估年度殖利率(%),預估配發股利總金額(百萬),預估殖利率5%股價
2235.TWO,謚源,上櫃,電機機械,49.3,35878000,1768.7854,"[792495.0, 707256.0, 704875.0, 723010.0]","[624764.0, 496352.0, 503617.0, 594813.0]","[110747.0, 72031.0, 51086.0, 164712.0]","[101690.0, 57589.0, 39644.0, 189588.0]",0.8399454393257458,0.9926246441040507,659211.6985224488,88350.60312086192,2.4625286560249156,"[3.0, 2.0, 1.5, 4.0]","[3.09, 2.01, 1.42, 4.59]",0.9969206301325284,2.3749453595213863,4.817%,85.2082896089083,47.49890719042772
2236.TW,百達-KY,上市,汽車工業,104.0,50391000,5240.664,"[1795565.0, 1181611.0, 1368325.0, 1419910.0]","[1353991.0, 833448.0, 1011124.0, 1026482.0]","[38797.0, 31528.0, 67300.0, 74862.0]","[49526.0, 11303.0, 52232.0, 43078.0]",0.9985046753563115,0.6032175944814554,1733079.72411891,80218.8830203003,1.5919287773669961,"[0.06, 0.3681839, 4.498, 0.28]","[0.88, 0.69, 1.47, 1.64]",0.44006503147115145,0.27179271758229023,0.261%,13.695906831689186,5.435854351645804
2239.TW,英利-KY,上市,汽車工業,52.2,120347000,6282.1134,"[22239873.0, 21644152.0, 20277213.0, 22780433.0]","[16096891.0, 14177293.0, 14454980.0, 15831172.0]","[644193.0, 480621.0, 665268.0, 138113.0]","[488853.0, 260186.0, 374737.0, -89232.0]",0.7354374464965702,0.9752583393469958,23743038.639102962,222331.18572833636,1.8474177646998793,"[2.5, 1.85, 2.5, 0.47]","[5.46, 4.07, 5.64, 1.17]",0.9991911477111056,0.7943531266294279,1.522%,95.59801573047176,15.887062532588558
2241.TW,艾姆勒,上市,汽車工業,39.15,104602000,4095.1683,"[847271.0, 1138098.0, 731236.0]","[608024.0, 829345.0, 578580.0]","[6546.0, -109760.0, -220126.0]","[12376.0, -54430.0, -135422.0]",0.9850970041299056,0.9975168000168682,843068.8643256683,-250731.97862492467,-2.3970094130602155,"[0.88, 0.6036, 0.0, 0.0]","[1.01, 0.08, -1.23, -2.46]",0.9435464539537833,0.0,0.000%,0.0,0.0
2243.TW,宏旭-KY,上市,汽車工業,20.95,69368200,1453.26379,"[1767065.0, 757591.0, 1499918.0, 1698196.0]","[1205635.0, 530358.0, 986921.0, 1312110.0]","[-131083.0, -284892.0, -79481.0, -28642.0]","[-73279.0, -72328.0, -39270.0, 23885.0]",0.9726167621774364,0.7627019884927048,1392858.8536308617,-204065.73865895555,-2.9417764719130024,"[0.0, 0.0, 0.0, 0.0]","[-3.03, -6.23, -1.82, -0.65]",,0.0,0.000%,0.0,0.0
2247.TW,汎德永業,上市,汽車工業,292.5,80709000,23607.3825,"[33746375.0, 39561996.0, 42122158.0, 44064153.0]","[23749682.0, 28632344.0, 32242276.0, 33502268.0]","[731686.0, 1070976.0, 1239468.0, 1475028.0]","[421206.0, 709252.0, 905475.0, 1074179.0]",0.9941260184340641,0.9972779102816323,51090319.31311494,1814917.150981158,22.487171826948146,"[8.4375, 11.0, 12.0, 15.0]","[10.2, 14.5, 15.36, 18.28]",0.9852272103793289,17.93117912096534,6.130%,1447.2075356739917,358.6235824193068
2250.TW,IKKA-KY,上市,汽車工業,103.0,31327000,3226.681,"[3664277.0, 3618633.0]","[2766172.0, 2696711.0]","[150969.0, 97767.0]","[122299.0, 69786.0]",1.0,1.0,3552187.3060422395,109277.06268923887,3.488270906541924,"[nan, 3.68181818, 3.22222222, 3.0]","[nan, 5.2, 6.06, 3.54]",0.48513045837044494,2.956161784791158,2.870%,92.60768023215262,59.12323569582316
2254.TW,巨鎧精密-創,上市,汽車工業,81.7,63908000,5221.2836,[928668.0],[791660.0],[148709.0],[152409.0],,,0.0,0.0,0.0,"[nan, nan, 0.86, 0.59]","[nan, nan, 9.47, 2.46]",0.9999999999999998,0.49524964336661914,0.606%,31.650414208273894,9.904992867332382
2258.TW,鴻華先進-創,上市,汽車工業,46.05,1741309952,80187.3232896,[],[],[],[],,,0.0,0.0,0.0,"[nan, nan, nan, 0.0]","[nan, nan, nan, -0.87]",,0.0,0.000%,0.0,0.0
2301.TW,光寶科,上市,電腦及週邊設備業,109.0,2300539904,250758.849536,"[177954166.0, 157133623.0, 164827947.0, 173456216.0]","[133799199.0, 115697866.0, 120258964.0, 130361572.0]","[9374899.0, 10016038.0, 13886552.0, 14151016.0]","[6967895.0, 8008448.0, 11377338.0, 10303564.0]",0.9913972725601914,0.9601399303333946,153616011.0236394,14170466.23101344,6.159626358306124,"[3.2, 3.4, 4.5, 4.5]","[4.03, 4.31, 6.01, 6.19]",0.9977415222811086,4.535326345493626,4.161%,10433.699235470578,90.70652690987252
2302.TW,麗正,上市,半導體業,18.45,166303008,3068.2904976,"[498284.0, 759358.0, 745850.0, 877633.0]","[370227.0, 440596.0, 563160.0, 654308.0]","[441.0, 105636.0, 84972.0, 176100.0]","[13558.0, 21631.0, 63108.0, 147950.0]",0.8662966405389622,0.8316243624631814,792225.1362136495,109100.58021713118,0.6560349180041962,"[0.0, 0.30065, 0.60131249, 0.8]","[0.0, 0.64, 0.51, 1.06]",0.8865875521701362,0.4990792663924044,2.705%,82.99838323149017,9.981585327848087
2303.TW,聯電,上市,半導體業,54.7,12528600064,685314.4235008,"[148201641.0, 176820914.0, 213011018.0, 278705264.0]","[106352583.0, 131524561.0, 153911430.0, 210869549.0]","[9707614.0, 29189489.0, 55780255.0, 87198291.0]","[5870601.0, 17993985.0, 39831225.0, 68130535.0]",0.998170617901814,0.9975982197018448,225501862.33571067,63675150.127452575,5.0823834907475725,"[0.75, 1.6, 3.0, 3.6]","[0.82, 2.42, 4.57, 7.09]",0.9803393955667082,2.8728985358786785,5.252%,35993.39678047512,57.457970717573566
2305.TW,全友,上市,電腦及週邊設備業,24.7,202726000,5007.3322,"[508075.0, 582434.0, 626223.0, 554909.0]","[348173.0, 398752.0, 453050.0, 405663.0]","[2834.0, 16667.0, 13172.0, 12419.0]","[-6425.0, 23708.0, 2803.0, 67243.0]",0.9569023252000983,0.4539204800576717,577506.7511798821,12047.11024533378,0.05942558056358721,"[0.0, 0.0, 0.0, 0.0]","[0.01, 0.08, 0.06, 0.06]",,0.0,0.000%,0.0,0.0
2308.TW,台達電,上市,電子零組件業,420.5,2597540096,1092265.610368,"[268131397.0, 282605493.0, 314670796.0, 384443308.0]","[199938137.0, 204052473.0, 230901339.0, 278783021.0]","[23117797.0, 25485231.0, 26796302.0, 32665728.0]","[18031687.0, 18054383.0, 20538751.0, 24755470.0]",0.9975408121474609,0.9690269856997027,416102038.85817343,32080773.35133738,12.350443945307775,"[5.0, 5.5, 5.5, 9.84]","[8.9, 9.81, 10.32, 12.58]",0.9584567554958578,9.161166589408111,2.179%,23796.49754212314,183.22333178816223
2312.TW,金寶,上市,其他電子業,23.5,1482240000,34832.64,"[137549891.0, 128219874.0, 139778507.0, 181414449.0]","[102716806.0, 90719606.0, 101412946.0, 132633328.0]","[453735.0, 142183.0, 14270.0, 1012463.0]","[624416.0, 446516.0, 184343.0, 1021448.0]",0.9934590117908717,0.9810222387581988,161713705.79995045,608473.5662370818,0.41050947635813484,"[0.3, 0.3, 0.2, 0.3]","[0.34, 0.11, 0.01, 0.69]",0.6129603805631746,0.17848238115021367,0.759%,264.55372463609274,3.5696476230042733
2313.TW,華通,上市,電子零組件業,86.0,1191820032,102496.522752,"[56174889.0, 60516929.0, 63053656.0, 76419408.0]","[38837760.0, 42388087.0, 43318277.0, 55573686.0]","[3822418.0, 4664701.0, 5140037.0, 8000977.0]","[2380108.0, 3369072.0, 3112750.0, 5838880.0]",0.9966675469747174,0.9843116513551001,66335333.02128467,4174102.712575884,3.5022927963136334,"[1.2, 1.5, 1.8, 2.7]","[3.21, 3.91, 4.31, 6.71]",0.995116186778942,1.3617236840363884,1.583%,1622.9295646834064,27.234473680727767
2314.TW,台揚,上市,通信網路業,32.85,252028000,8279.1198,"[5798880.0, 3949997.0, 3929852.0, 4482301.0]","[4370048.0, 2946119.0, 3005886.0, 3261738.0]","[1684.0, -95415.0, -450016.0, -486411.0]","[-19908.0, -53607.0, -307700.0, -364782.0]",0.9947772984387759,0.9939768055259746,3905706.7531272788,-535816.1185273266,-2.1260182143544633,"[0.0, 0.0, 0.0, 0.0]","[0.01, -0.42, -1.97, -2.06]",,0.0,0.000%,0.0,0.0
2316.TW,楠梓電,上市,電子零組件業,60.9,181435008,11049.391987199999,"[5094456.0, 4784973.0, 5349713.0, 5132715.0]","[3793164.0, 3577721.0, 3901793.0, 4043017.0]","[550432.0, 414059.0, 533553.0, 510587.0]","[462690.0, 310167.0, 387620.0, 464826.0]",0.7633245947297499,0.8259378123865578,4006753.9131368357,286300.9330578291,1.5779806566207393,"[0.5, 1.5, 1.0, 0.5]","[2.55, 2.14, 2.94, 2.81]",-0.601972055782436,0.28077947617157045,0.461%,50.94322650542469,5.615589523431408
2317.TW,鴻海,上市,其他電子業,223.5,13861499904,3098045.228544,"[5342810995.0, 5358023065.0, 5994173882.0, 6626996750.0]","[3601878654.0, 3349011129.0, 4104347741.0, 4663968546.0]","[115308736.0, 101794807.0, 139320332.0, 141482714.0]","[67542884.0, 55818855.0, 94924952.0, 101503473.0]",0.9819429231410318,0.9946774447083837,6223352968.632788,132375399.78581268,9.549861176827859,"[4.2, 4.0, 5.2, 5.3]","[8.32, 7.34, 10.05, 10.21]",0.9854840673958171,4.946085612563278,2.213%,68560.16524372167,98.92171225126556
2321.TW,東訊,上市,通信網路業,15.8,14132900,223.29982,"[1563994.0, 1075547.0, 1070339.0, 1010890.0]","[1191223.0, 831332.0, 804800.0, 781644.0]","[-115393.0, -39698.0, 5272.0, 9378.0]","[-86305.0, -35635.0, 4684.0, 10702.0]",0.9985525596844463,0.9963325849145783,753304.2502158108,-41412.15427949071,-2.930195096511736,"[0.0, 0.0, 0.0, 0.0]","[-0.78, -0.9, 0.12, 0.66]",,0.0,0.000%,0.0,0.0
2323.TW,中環,上市,光電業,13.15,1089350016,14324.952710399999,"[7045247.0, 9401027.0, 8712988.0, 7692376.0]","[5524766.0, 6963531.0, 6389622.0, 5821506.0]","[228705.0, 111073.0, 161186.0, -1077756.0]","[145830.0, -526775.0, 3309.0, -971678.0]",0.9928899787268247,0.8628651702948622,7064386.2870683465,1267469.3223497604,1.163509711051182,"[0.2, 0.7, 0.1, 0.0]","[0.2, 0.1, 0.14, -0.95]",0.4903626594074511,0.0,0.000%,0.0,0.0
2324.TW,仁寶,上市,電腦及週邊設備業,34.9,4357130240,152063.845376,"[980442346.0, 1048929251.0, 1235682015.0, 1073245915.0]","[712919021.0, 714942173.0, 867846747.0, 824539870.0]","[6955899.0, 9361893.0, 12632667.0, 7288292.0]","[4941697.0, 4780214.0, 9438907.0, 6214228.0]",0.8681133262618571,0.8139068827414039,994739440.415916,8605565.560085414,1.975053552699268,"[1.2, 1.6, 2.0, 1.2]","[1.6, 2.15, 2.9, 1.67]",0.9941776452352235,1.4332744283754408,4.107%,6244.963354093347,28.665488567508817
2327.TW,國巨,上市,電子零組件業,764.0,419188000,320259.632,"[41306656.0, 67672108.0, 106539360.0, 121086925.0]","[31290825.0, 45446653.0, 80849313.0, 92251747.0]","[6944793.0, 12979739.0, 22902546.0, 22730465.0]","[6051328.0, 9272444.0, 18166082.0, 18566994.0]",0.9951683377565553,0.9932526504583684,106526216.69292606,16017882.101585258,38.211690462478074,"[15.0, 10.0, 10.0, 10.0]","[16.35, 27.58, 46.46, 44.22]",-0.8076406543015948,8.641268754164454,1.131%,3622.316166520689,172.82537508328906
2328.TW,廣宇,上市,電子零組件業,40.45,518345984,20967.095052800003,"[25600708.0, 20547713.0, 24226194.0, 26257340.0]","[19344132.0, 15061690.0, 17027101.0, 18657591.0]","[1029323.0, 663190.0, 967232.0, 1322290.0]","[984125.0, 468737.0, 690759.0, 976683.0]",0.9497696926906296,0.879230588561481,26268160.10462288,1157282.8652442587,2.232645570654713,"[1.0, 0.65, 1.0, 1.4]","[1.99, 1.28, 1.87, 2.55]",0.9935409139532624,1.1938429868656877,2.951%,618.823717768394,23.87685973731375
2329.TW,華泰,上市,半導體業,55.3,560307968,30985.030630399997,"[17515145.0, 13851909.0, 15948138.0, 15531669.0]","[13416556.0, 10406485.0, 11887077.0, 11936056.0]","[587960.0, -266123.0, 1530581.0, 1448653.0]","[542045.0, -254575.0, 1000439.0, 1220588.0]",0.9913987483522269,0.9791766992459192,15763462.332701057,1652829.566075565,2.949859114042735,"[0.15, 0.0, 1.0, 0.85]","[1.06, -0.48, 2.24, 2.02]",0.9165931370561333,1.1420926663366,2.065%,639.9236211427623,22.841853326732
2330.TW,台積電,上市,半導體業,1045.0,25930399744,27097267.73248,"[1069985448.0, 1339254811.0, 1587415037.0, 2263891292.0]","[752748383.0, 977721754.0, 1149225731.0, 1638359424.0]","[345263668.0, 517885387.0, 596540013.0, 1016530249.0]","[229228587.0, 375118953.0, 430307722.0, 720626072.0]",0.9995277067810361,0.9987600886656827,2118033192.3402817,841335889.335993,32.4459282402952,"[9.5, 10.0, 11.0, 10.99964144]","[13.32, 19.97, 23.01, 39.2]",0.7981715913918895,10.841760631378913,1.037%,281131.18710041704,216.83521262757824
2331.TW,精英,上市,電腦及週邊設備業,33.25,557403008,18533.650016,"[28291303.0, 25995735.0, 31937860.0, 31363909.0]","[21097196.0, 18584687.0, 22347823.0, 25797283.0]","[45779.0, 62084.0, 71527.0, 875337.0]","[-46710.0, 119455.0, -42489.0, 931251.0]",0.8390877344963585,0.9866042046378165,24318026.010195397,675666.8090834719,1.2121692911342736,"[0.0, 1.0014667, 0.0, 0.8]","[0.08, 0.11, 0.13, 1.57]",0.44542466933674585,0.6176658806783344,1.858%,344.2888198290727,12.353317613566688
2332.TW,友訊,上市,通信網路業,19.0,597081984,11344.557696,"[16996048.0, 15179443.0, 15524901.0, 17077888.0]","[12540520.0, 11024577.0, 11224288.0, 12656795.0]","[-508327.0, 1239925.0, 239197.0, 109233.0]","[-475773.0, 250131.0, -185373.0, -174643.0]",0.9985965937475544,0.9958540132327418,16618922.86138809,1924166.4269550242,3.2226167905193805,"[0.0, 0.3, 0.3, 0.2246]","[-0.78, 1.9, 0.38, 0.18]",0.8005719807584714,0.4933513763086014,2.597%,294.5712185754703,9.867027526172027
2337.TW,旺宏,上市,半導體業,27.05,1853869952,50147.1822016,"[34995411.0, 39800947.0, 50572991.0, 43487454.0]","[25414766.0, 29643413.0, 36027965.0, 34409528.0]","[3011960.0, 5326083.0, 11962952.0, 8969775.0]","[2258261.0, 4170326.0, 8271359.0, 8364631.0]",0.9493476797907348,0.9470039282027914,29820964.009399164,-607564.7571406533,-0.3277278195728874,"[1.2, 1.2, 1.8, 1.8]","[1.64, 2.9, 6.48, 4.85]",0.9189690739902459,0.8589388352396203,3.175%,1592.3608972566108,17.178776704792405
2338.TW,光罩,上市,半導體業,78.7,213652992,16814.4904704,"[3468682.0, 4666756.0, 6077362.0, 7741118.0]","[2445772.0, 3355991.0, 4378584.0, 5770144.0]","[431254.0, 683897.0, 1185777.0, 703519.0]","[307799.0, 187404.0, 918060.0, 21756.0]",0.9994920208343268,0.77643398874212,7205631.235761462,666039.3936641285,3.1173885627781357,"[1.0, 1.5, 2.0, 2.5]","[2.19, 3.34, 5.65, 3.37]",0.5209331130460176,2.312602792590243,2.939%,494.0945059444608,46.252055851804855
2340.TW,台亞,上市,半導體業,42.6,437868000,18653.1768,"[5418004.0, 5590046.0, 6143243.0, 4529777.0]","[4126859.0, 3879059.0, 4776743.0, 3669564.0]","[604633.0, 575133.0, 829371.0, 360465.0]","[459539.0, 346391.0, 674920.0, 379309.0]",0.8655989171133771,0.8419676178969424,4035488.6756525035,435342.19077112636,0.994231573833042,"[0.0, 1.39, 3.0, 1.0]","[1.45, 1.52, 2.11, 0.82]",0.6647880448095193,1.2124775289434375,2.846%,530.9051106434051,24.24955057886875
2342.TW,茂矽,上市,半導體業,33.2,157156000,5217.5792,"[1357621.0, 1845652.0, 1951967.0, 2151511.0]","[965605.0, 1404313.0, 1421882.0, 1652779.0]","[-396646.0, 220130.0, 245238.0, 550228.0]","[-259347.0, 62954.0, 162242.0, 500233.0]",0.9937714469557041,0.9653728366002621,1603889.4793354322,-50604.4045465211,-0.3220010979314891,"[0.0, 0.5, 0.5, 2.0]","[-2.56, 1.42, 1.58, 3.53]",0.8409161234025789,0.3753548638986405,1.131%,58.98926899085474,7.507097277972809
2344.TW,華邦電,上市,半導體業,25.4,4203780096,106776.01443839999,"[48771434.0, 60683171.0, 99569924.0, 94529790.0]","[36318766.0, 40335319.0, 73574247.0, 75305977.0]","[1256387.0, 1304019.0, 13594643.0, 12927165.0]","[1468643.0, 953609.0, 9400565.0, 12380833.0]",0.9863349543023179,0.9672193258596621,75239138.3879998,-710987.5045067538,-0.16913051783638156,"[0.1, 0.2, 1.0, 1.0]","[0.32, 0.33, 3.42, 3.25]",0.9959557462342589,0.01125338911430774,0.044%,47.306773171269946,0.2250677822861548
2345.TW,智邦,上市,通信網路業,575.0,558220032,320976.5184,"[55401047.0, 54462872.0, 59598681.0, 77205223.0]","[41368764.0, 38749094.0, 42455414.0, 55007074.0]","[4950495.0, 5048353.0, 4705059.0, 8165812.0]","[3872088.0, 3687407.0, 3178555.0, 5821283.0]",0.9924501006287417,0.9828033333763327,87563743.24533312,9231111.44337361,16.536689681845044,"[6.2, 6.5, 6.0, 7.5]","[8.91, 9.07, 8.44, 14.64]",0.9732558541885318,7.937627152138335,1.380%,4430.942482870731,158.7525430427667
2347.TW,聯強,上市,電子通路業,72.4,1667949952,120759.57652480001,"[339994666.0, 334200976.0, 408811612.0, 424550420.0]","[246715285.0, 234274953.0, 284881082.0, 313012027.0]","[6815243.0, 8158539.0, 17271560.0, 15748824.0]","[4875879.0, 5682660.0, 14220665.0, 13284809.0]",0.9782797649729864,0.9984839070257269,392114358.9921032,7300054.840549996,4.376662999867994,"[2.6, 3.3, 5.0, 3.5]","[4.09, 4.89, 10.35, 9.44]",0.8345401813453308,2.8488424783878568,3.935%,4751.726675082587,56.976849567757135
2348.TW,海悅,上市,其他業,262.5,115277000,30260.2125,"[1733877.0, 3747452.0, 6356334.0, 5092277.0]","[896610.0, 2346175.0, 3581108.0, 3531906.0]","[565055.0, 1387638.0, 1658265.0, 934394.0]","[341963.0, 844296.0, 1160309.0, 657512.0]",0.9685183606495948,0.9840828986240402,5777540.1401411295,1153622.19868531,10.00739261678661,"[4.5, 7.0, 7.0, 5.0]","[6.59, 15.1, 15.58, 7.88]",0.9981775397900065,5.518490277948949,2.102%,636.1550037711211,110.36980555897898
2349.TW,錸德,上市,光電業,16.2,693680000,11237.616,"[7779123.0, 6578209.0, 7477106.0, 7739061.0]","[5905764.0, 4863711.0, 5663078.0, 5719471.0]","[-2254907.0, -897386.0, -341235.0, -149267.0]","[-531832.0, -584924.0, -266754.0, -63019.0]",0.987208938565198,0.7322012352014639,7509027.726270775,-509557.5915630829,-0.7345715482111101,"[0.0, 0.0, 0.0, 0.0]","[-1.76, -1.29, -0.49, -0.22]",,0.0,0.000%,0.0,0.0
2351.TW,順德,上市,半導體業,128.0,182140000,23313.92,"[8839367.0, 8450611.0, 11152550.0, 11724279.0]","[6685410.0, 6120076.0, 8117447.0, 8876231.0]","[491566.0, 349147.0, 852244.0, 940519.0]","[436177.0, 210944.0, 646168.0, 787685.0]",0.9907168570208782,0.9796487775368139,11073972.070986679,781061.7182916158,4.288249249432392,"[1.8, 1.8, 3.0, 3.2]","[2.7, 1.92, 4.68, 5.16]",0.978526118410142,2.770355481891289,2.164%,504.5925474716794,55.407109637825776
2352.TW,佳世達,上市,電腦及週邊設備業,38.05,1966780032,74835.9802176,"[169754115.0, 191701702.0, 225961031.0, 239837296.0]","[123891916.0, 134567447.0, 164088700.0, 183720277.0]","[3575055.0, 4988479.0, 8307546.0, 8251930.0]","[2941445.0, 3227295.0, 7312256.0, 7880318.0]",0.9859690826358436,0.9752842908191628,208379333.98708406,3807341.792734789,1.9358249172700515,"[0.75, 1.5, 2.5, 2.0]","[1.82, 2.54, 4.22, 4.2]",0.945527198388076,0.9519535207781988,2.502%,1872.2831760586587,19.039070415563977
2353.TW,宏碁,上市,電腦及週邊設備業,46.8,3006210048,140690.6302464,"[234285354.0, 277112477.0, 319005456.0, 275423744.0]","[172701074.0, 194493919.0, 232475245.0, 215586661.0]","[2632565.0, 6029287.0, 10897427.0, 5003688.0]","[2291517.0, 4037260.0, 8657261.0, 5835268.0]",0.9344308501316493,0.9193100675931228,244460524.15073293,4624411.965398234,1.5382863777182858,"[0.776841, 1.5, 2.28, 1.5]","[0.87, 2.01, 3.63, 1.67]",0.9767108707114374,1.2522302742971623,2.676%,3764.4672330019253,25.044605485943244
2354.TW,鴻準,上市,其他電子業,73.1,1414480000,103398.48799999998,"[99802129.0, 104789599.0, 104082031.0, 90469506.0]","[72734721.0, 70329968.0, 76144217.0, 60498018.0]","[7129801.0, 4718343.0, 4488906.0, 4266446.0]","[5330236.0, 3635086.0, 3648570.0, 3440308.0]",0.8773355995995314,0.9969941080686681,93334463.28669605,3932669.097174747,2.7802931799493433,"[2.5, 1.8, 1.7, 1.6]","[5.04, 3.34, 3.17, 3.02]",0.9980632967475656,1.5265780971619682,2.088%,2159.314186873661,30.531561943239364
2355.TW,敬鵬,上市,電子零組件業,49.95,397495008,19854.875649600002,"[17848498.0, 15313285.0, 18219280.0, 17614328.0]","[13490582.0, 11066587.0, 13444850.0, 12970575.0]","[660825.0, 46118.0, 337782.0, 496591.0]","[477217.0, -53854.0, 353053.0, 328718.0]",0.9898494521465561,0.9405550243953633,16864816.52171483,694873.514294692,1.7481314238157475,"[1.0, 0.5, 0.5, 0.85]","[1.66, 0.12, 0.85, 1.25]",0.8899469905391303,0.97942908529532,1.961%,389.3181720948959,19.5885817059064
2356.TW,英業達,上市,電腦及週邊設備業,55.5,3587480064,199105.143552,"[500952813.0, 508294198.0, 519732048.0, 541750850.0]","[371374775.0, 382817282.0, 371730854.0, 406993892.0]","[5507960.0, 7547985.0, 6537765.0, 6128786.0]","[4125379.0, 6622634.0, 5077504.0, 4736095.0]",0.8407462527081838,0.9903807206705587,520770038.6295032,5635790.084766628,1.5709606699480263,"[1.3, 1.85, 1.4, 1.5]","[1.54, 2.1, 1.82, 1.71]",0.9202044266833954,1.304984259793065,2.351%,4681.605015841417,26.099685195861298
2357.TW,華碩,上市,電腦及週邊設備業,508.0,742760000,377322.08,"[351330493.0, 412780439.0, 535238735.0, 537191932.0]","[254041608.0, 290455066.0, 383334550.0, 410115547.0]","[12138555.0, 26557672.0, 44549798.0, 14690785.0]","[9499950.0, 16711011.0, 32491459.0, 18514016.0]",0.9878428270383589,0.9101346413420366,493197911.9851744,14268309.462739237,19.209851718912216,"[14.0, 26.0, 42.0, 15.0]","[16.34, 35.76, 59.98, 19.78]",0.9992195662154669,15.255100440076536,3.003%,11330.878402871249,305.1020088015307
2358.TW,廷鑫,上市,其他業,4.56,136623008,623.0009164799999,"[2057862.0, 1920858.0, 2522900.0, 2112854.0]","[1220614.0, 1163351.0, 1674864.0, 1382612.0]","[1173.0, 10429.0, 144150.0, 1586.0]","[1940.0, 7730.0, 83322.0, 27697.0]",0.9788899969421624,0.9482005986901018,1498322.9031750544,-810887.5656863682,-5.935219679004345,"[0.2, 0.1, 0.3, 0.0]","[0.01, 0.11, 1.29, 0.01]",0.7723910305797871,0.0,0.000%,0.0,0.0
2359.TW,所羅門,上市,其他電子業,166.5,171371008,28533.272832,"[3737064.0, 3527149.0, 3899210.0, 5249928.0]","[2850206.0, 2612739.0, 2674703.0, 4023689.0]","[318447.0, 20318.0, 198514.0, 458232.0]","[271328.0, 49314.0, 112679.0, 468323.0]",0.9789329948061938,0.960037869177785,4226039.514931297,551419.91865735,3.217696651800928,"[0.8, 0.5, 0.9, 1.5]","[1.86, 0.12, 1.16, 2.67]",0.8986805925588723,1.5400191142520132,0.925%,263.9146279486347,30.800382285040264
2360.TW,致茂,上市,其他電子業,325.0,423710016,137705.7552,"[13909634.0, 15532543.0, 17584023.0, 22067242.0]","[9431826.0, 11354608.0, 12994408.0, 15994442.0]","[1854481.0, 2323776.0, 4179232.0, 5105824.0]","[1250530.0, 1637230.0, 3521435.0, 4243563.0]",0.992341674265962,0.9988850657735372,18796512.401302695,3913488.9559777356,9.236243676566135,"[3.00654711, 4.4996051, 6.98089243, 8.00061312]","[4.48, 5.56, 9.96, 12.14]",0.9872961601665317,6.36904861497176,1.960%,2698.6296905544623,127.3809722994352
2362.TW,藍天,上市,電腦及週邊設備業,57.2,585216000,33474.3552,"[21900662.0, 20238946.0, 26991842.0, 22196860.0]","[16603198.0, 14772738.0, 19337541.0, 16972919.0]","[1068639.0, 666944.0, 1796350.0, 824526.0]","[1225873.0, 317906.0, 1206098.0, 682378.0]",0.9719943279642232,0.7792565615292818,23895785.62745958,1083884.798292853,1.8521106707486688,"[0.4, 0.6, 2.1, 1.5]","[1.75, 1.12, 3.03, 1.41]",0.7199708329736202,1.9703305003629834,3.445%,1153.0689341004238,39.406610007259665
2363.TW,矽統,上市,半導體業,62.0,487232992,30208.445504,"[222952.0, 160171.0, 252153.0, 182202.0]","[180528.0, 114891.0, 183889.0, 137784.0]","[-224691.0, -299468.0, 198311.0, 483657.0]","[-110051.0, -149474.0, 270519.0, 586907.0]",0.9668312311891675,0.9976458197708244,201702.0422372437,604802.398371294,1.2413001752789639,"[0.347, 0.8, 0.8, 1.0]","[-0.42, -0.47, 0.29, 0.65]",0.7107985497112093,1.9096925767793442,3.080%,930.4652279843897,38.19385153558688
2364.TW,倫飛,上市,電腦及週邊設備業,88.5,30999000,2743.4115,"[829029.0, 863359.0, 867893.0, 934137.0]","[568610.0, 605235.0, 664343.0, 663372.0]","[-58076.0, 21387.0, 28182.0, 79598.0]","[-53834.0, 9463.0, 21009.0, 69858.0]",0.779435405052137,0.9972052356512101,991432.3959155899,106949.92028779819,3.450108722468408,"[0.0, 0.0, 1.0, 0.0]","[-0.3, 0.11, 1.14, 3.21]",0.04250684215975725,0.0,0.000%,0.0,0.0
2365.TW,昆盈,上市,電腦及週邊設備業,55.5,221528000,12294.804,"[1605479.0, 1653269.0, 1365913.0, 1020675.0]","[1173860.0, 1181651.0, 1005184.0, 853086.0]","[151480.0, 146236.0, 50512.0, 54408.0]","[30092.0, 111741.0, 37360.0, 63679.0]",0.9936962520506583,0.29198980947247705,527680.9357835096,107950.75503206614,0.4873007251095398,"[0.4, 0.3, 0.2, 0.2]","[0.65, 0.64, 0.23, 0.25]",0.9112845519343303,0.2917039684246496,0.526%,64.62059671717577,5.834079368492991
2367.TW,燿華,上市,電子零組件業,38.45,669406976,25738.698227200002,"[22418326.0, 14386972.0, 13501569.0, 17423501.0]","[16673784.0, 9704887.0, 9520542.0, 13496499.0]","[1735300.0, -1436452.0, -242117.0, 413326.0]","[1378609.0, -1092102.0, 62012.0, 620952.0]",0.9873647749688131,0.9903085389572619,15749040.511348804,-328612.81230215204,-0.4909013859786129,"[0.8, 0.0, 0.0, 0.3]","[2.8, -2.32, -0.39, 0.65]",0.9234255618378632,0.16458543913944448,0.428%,110.17464110796757,3.2917087827888896
