證券代碼,股票簡稱,上市板,所屬行業,最近收盤股價,流通股份,市值(百萬),Q4sales,Q3sales,Q4NI,Q3NI,corr,corr1,predict112Sales,predict112NI,predict112EPS,Div,EPS,corr,predict112Div,預估年度殖利率(%),預估配發股利總金額(百萬),預估殖利率5%股價
1215.TW,卜蜂,上市,食品工業,102.0,294790016,30068.581632,"[21173634.0, 22189635.0, 24841345.0, 28959220.0]","[15575358.0, 16366708.0, 18061685.0, 21251007.0]","[1463926.0, 1657082.0, 1355652.0, 1555380.0]","[939821.0, 1239619.0, 1065542.0, 1194288.0]",0.9991617680425001,0.7205821292652285,30001386.561564997,1893631.2555866977,6.423661429519709,"[4.0, 4.5, 3.0, 3.5]","[5.46, 6.18, 5.06, 5.28]",0.942142669227846,4.914280160256328,4.818%,1448.6807270704455,98.28560320512655
1216.TW,統一,上市,食品工業,84.7,5682019840,481267.080448,"[447977703.0, 447319979.0, 473501669.0, 524831664.0]","[343353755.0, 340811964.0, 357718436.0, 396497245.0]","[19007255.0, 21542407.0, 19879062.0, 17168480.0]","[16193209.0, 17999274.0, 16500709.0, 14612992.0]",0.9981835320071748,0.9943124041780634,578331420.6364713,19983135.728630003,3.5169070667359725,"[2.5, 2.7, 2.7, 3.15]","[3.35, 3.79, 3.5, 3.02]",-0.6231408938394263,3.668297107383419,4.331%,20843.3369431672,73.36594214766838
1217.TW,愛之味,上市,食品工業,12.9,494512992,6379.2175968,"[4468238.0, 4614486.0, 4710880.0, 4800625.0]","[3614468.0, 3785448.0, 3784597.0, 3843896.0]","[48069.0, 232904.0, 201182.0, 277890.0]","[97221.0, 251291.0, 272902.0, 292072.0]",0.9384939366636091,0.9649201833050192,4918561.35205533,133909.61463128877,0.2707908928534051,"[0.0, 0.0, 0.3, 0.4]","[0.1, 0.47, 0.41, 0.56]",0.6273350241764928,0.19342206624649194,1.499%,95.64972469837494,3.868441324929839
1218.TW,泰山,上市,食品工業,21.55,486320000,10480.196,"[8000584.0, 8356125.0, 9944978.0, 11069440.0]","[6080600.0, 6317456.0, 7422702.0, 8450224.0]","[582073.0, 851078.0, 591827.0, 5918495.0]","[507658.0, 696120.0, 443068.0, 429724.0]",0.9976859195309746,-0.44503782175870793,11308578.605636263,9564750.457645804,19.66760663276403,"[0.9, 1.4, 1.0, 0.56985663]","[1.2, 1.75, 1.22, 12.17]",-0.7448669292097344,0.9209298393000058,4.273%,447.86659944837885,18.418596786000116
1219.TW,福壽,上市,食品工業,18.4,341238016,6278.7794944,"[12259254.0, 12324165.0, 14778782.0, 16999408.0]","[9044423.0, 8960048.0, 10752418.0, 12650048.0]","[203114.0, 615277.0, 322817.0, 321930.0]","[72561.0, 475395.0, 254627.0, 304707.0]",0.9982644995472925,0.9449556403732685,16728035.859570453,321479.9122068192,0.942098761372529,"[0.4, 1.0, 1.1, 0.5]","[0.63, 1.91, 1.0, 1.0]",0.6213847411037541,0.4710493806862645,2.560%,160.7399561034096,9.42098761372529
1220.TW,台榮,上市,食品工業,15.75,176399008,2778.284376,"[2982351.0, 2775071.0, 3219386.0, 3537556.0]","[2075906.0, 2054926.0, 2292935.0, 2555000.0]","[125748.0, 180815.0, 177906.0, 45878.0]","[81096.0, 124946.0, 150346.0, 36009.0]",0.97348086674529,0.9619858933376121,3277073.5801232634,96853.0688793051,0.5490567661202783,"[0.6, 1.0, 1.0, 0.2]","[0.71, 1.02, 1.0, 0.26]",0.9942939917807694,0.48686067832317914,3.091%,85.88174069041591,9.737213566463582
1225.TW,福懋油,上市,食品工業,132.5,229638000,30427.035,"[10646506.0, 10213493.0, 13103954.0, 15274361.0]","[7838370.0, 7489528.0, 9447797.0, 11244609.0]","[339004.0, 375757.0, 453112.0, 368994.0]","[242607.0, 227752.0, 330365.0, 340989.0]",0.998480728484169,0.5476997689640725,14913757.046909401,360980.99511293403,1.5719567106181644,"[1.3, 1.4, 1.6, 1.5]","[1.55, 1.72, 2.07, 1.69]",0.8933021608835211,1.3532278054357567,1.021%,310.7525267846563,27.064556108715134
1227.TW,佳格,上市,食品工業,41.05,908419968,37290.63968639999,"[31266232.0, 34466244.0, 34307044.0, 28922800.0]","[21404896.0, 24224530.0, 24345093.0, 20399539.0]","[3416097.0, 3212801.0, 2456628.0, 1214098.0]","[2439979.0, 2536836.0, 1971178.0, 976082.0]",0.9858223282952153,0.9879311871564349,29007452.383672483,1145392.383786304,1.2608621828382178,"[2.65, 2.5, 1.9, 1.29]","[3.76, 3.54, 2.7, 1.34]",0.9929170613795434,1.1993810450439257,2.922%,1089.5416905586094,23.987620900878515
1229.TW,聯華,上市,食品工業,70.6,1577360000,111361.61599999998,"[8271293.0, 9544161.0, 11322814.0, 12326365.0]","[5970777.0, 7092098.0, 8048580.0, 9246716.0]","[2766816.0, 3098730.0, 4089143.0, 3871653.0]","[2311739.0, 2238490.0, 3630022.0, 3264101.0]",0.9899301260477724,0.9635711970890469,12547843.782889362,3910987.712602596,2.4794515599499136,"[1.6, 1.7, 1.8, 1.3]","[2.51, 2.43, 2.92, 2.63]",0.2731163785668017,1.225584421400004,1.736%,1933.1878429395103,24.511688428000078
1231.TW,聯華食,上市,食品工業,118.5,246656000,29228.736,"[8588903.0, 8817321.0, 9517892.0, 10772839.0]","[6316123.0, 6485644.0, 6954172.0, 7762956.0]","[523633.0, 684768.0, 814001.0, 871814.0]","[307865.0, 435477.0, 545181.0, 607281.0]",0.9998417336864527,0.9987428147195101,11106642.089319855,748898.3144103881,3.036205542984513,"[1.6, 1.6, 1.5, 1.6]","[3.0, 3.74, 4.03, 3.89]",-0.530281888551291,1.2488249020456024,1.054%,308.0301550389601,24.976498040912045
